#Good  SNR  Sigma  LineFlux  Cont  SBR  EW_Obs  Score
1  6.081752  2.136588  0.000000  0.000000  6.081752  17.411606  3.166828
1  5.738835  4.279678  0.000000  0.000000  5.738835  32.455430  4.229732
1  7.895975  3.606278  0.000000  0.000000  7.895975  37.079699  6.454588
1  17.526714  1.700415  0.000000  0.000000  17.526714  18.009552  9.312462
1  3.991532  2.849783  0.000000  0.000000  3.991532  24.228070  2.234405
1  5.147061  2.583462  0.000000  0.000000  5.147061  14.901346  3.278421
1  4.493339  2.228113  0.000000  0.000000  4.493339  15.168638  2.055532
1  5.248669  2.162682  0.000000  0.000000  5.248669  18.966601  4.113353
1  5.420572  4.434617  0.000000  0.000000  5.420572  30.988499  3.510285
1  6.213137  5.528273  0.000000  0.000000  6.213137  71.770327  8.766460
1  7.565088  3.977854  0.000000  0.000000  7.565088  33.208607  4.008251
1  5.050161  3.599114  0.000000  0.000000  5.050161  32.005911  4.018145
1  6.620047  1.979601  0.000000  0.000000  6.620047  19.669815  4.562814
1  6.600037  1.726880  0.000000  0.000000  6.600037  23.831327  2.943649
1  4.300975  2.931587  0.000000  0.000000  4.300975  20.887867  2.645075
1  4.564602  2.487527  0.000000  0.000000  4.564602  19.446979  2.466831
1  5.303030  4.100731  0.000000  0.000000  5.303030  30.942267  4.060297
1  4.439009  2.649560  0.000000  0.000000  4.439009  18.146947  3.000635
1  4.662788  2.537775  0.000000  0.000000  4.662788  18.946128  2.340853
1  7.679000  2.724768  0.000000  0.000000  7.679000  20.612749  5.938283
1  4.887861  5.412192  0.000000  0.000000  4.887861  24.385655  3.452169
1  4.498342  3.290524  0.000000  0.000000  4.498342  48.031801  3.551878
1  4.297326  2.408681  0.000000  0.000000  4.297326  16.067378  2.114314
1  9.218776  2.423021  0.000000  0.000000  9.218776  52.046384  7.395140
1  8.697118  1.616418  0.000000  0.000000  8.697118  10.333951  2.081718
1  4.929943  3.897002  0.000000  0.000000  4.929943  20.370868  3.881164
1  5.060770  2.184692  0.000000  0.000000  5.060770  10.906150  2.271789
1  5.235743  4.688506  0.000000  0.000000  5.235743  23.504404  2.424909
1  4.263914  2.515851  0.000000  0.000000  4.263914  28.269657  3.122608
1  4.112851  3.052376  0.000000  0.000000  4.112851  17.524282  2.791147
1  4.788409  3.982607  0.000000  0.000000  4.788409  22.179807  3.895905
1  5.596471  2.520861  0.000000  0.000000  5.596471  13.492712  2.897390
1  4.761737  2.154538  0.000000  0.000000  4.761737  11.056522  2.633751
1  4.864904  2.294363  0.000000  0.000000  4.864904  20.028449  4.390575
1  6.079253  6.303707  0.000000  0.000000  6.079253  52.441181  4.827432
1  3.869611  2.407478  0.000000  0.000000  3.869611  17.714046  2.814545
